

wavelength(nm), Y
1552.78, 0.450572
1552.77, 0.463959
1552.77, 0.477143
1552.76, 0.490117
1552.75, 0.502876
1552.74, 0.515414
1552.73, 0.527725
1552.73, 0.539805
1552.72, 0.551647
1552.71, 0.563248
1552.7, 0.574601
1552.69, 0.585701
1552.69, 0.596544
1552.68, 0.607125
1552.67, 0.61744
1552.66, 0.627483
1552.65, 0.637251
1552.64, 0.646739
1552.64, 0.655943
1552.63, 0.664858
1552.62, 0.673482
1552.61, 0.68181
1552.6, 0.689838
1552.6, 0.697563
1552.59, 0.704982
1552.58, 0.712091
1552.57, 0.718888
1552.56, 0.725368
1552.56, 0.73153
1552.55, 0.737371
1552.54, 0.742888
1552.53, 0.748079
1552.52, 0.752941
1552.52, 0.757472
1552.51, 0.76167
1552.5, 0.765534
1552.49, 0.769062
1552.48, 0.772252
1552.48, 0.775103
1552.47, 0.777613
1552.46, 0.779782
1552.45, 0.781608
1552.44, 0.783091
1552.44, 0.78423
1552.43, 0.785024
1552.42, 0.785474
1552.41, 0.785578
1552.4, 0.785338
1552.4, 0.784752
1552.39, 0.783822
1552.38, 0.782548
1552.37, 0.78093
1552.36, 0.778969
1552.36, 0.776666
1552.35, 0.774021
1552.34, 0.771037
1552.33, 0.767714
1552.32, 0.764053
1552.32, 0.760058
1552.31, 0.755728
1552.3, 0.751066
1552.29, 0.746075
1552.28, 0.740755
1552.28, 0.735111
1552.27, 0.729143
1552.26, 0.722855
1552.25, 0.71625
1552.24, 0.70933
1552.23, 0.702099
1552.23, 0.694559
1552.22, 0.686714
1552.21, 0.678567
1552.2, 0.670122
1552.19, 0.661383
1552.19, 0.652354
1552.18, 0.643038
1552.17, 0.633439
1552.16, 0.623563
1552.15, 0.613412
1552.15, 0.602992
1552.14, 0.592307
1552.13, 0.581362
1552.12, 0.570162
1552.11, 0.558711
1552.11, 0.547015
1552.1, 0.535078
1552.09, 0.522906
1552.08, 0.510505
1552.07, 0.49788
1552.07, 0.485036
1552.06, 0.471978
1552.05, 0.458714
1552.04, 0.445248
1552.03, 0.431586
1552.03, 0.417735
1552.02, 0.4037
1552.01, 0.389488
1552, 0.375105
1551.99, 0.360558
1551.99, 0.345851
1551.98, 0.330993
1551.97, 0.31599
1551.96, 0.300848
1551.95, 0.285573
1551.95, 0.270173
1551.94, 0.254655
1551.93, 0.239024
1551.92, 0.223289
1551.91, 0.207456
1551.91, 0.191531
1551.9, 0.175522
1551.89, 0.159436
1551.88, 0.143281
1551.87, 0.127062
1551.87, 0.110787
1551.86, 0.0944641
1551.85, 0.0780993
1551.84, 0.0617003
1551.83, 0.0452742
1551.83, 0.0288282
1551.82, 0.0123695
1551.81, -0.00409463
1551.8, -0.0205569
1551.79, -0.0370102
1551.79, -0.0534473
1551.78, -0.0698608
1551.77, -0.0862437
1551.76, -0.102589
1551.75, -0.118889
1551.74, -0.135136
1551.74, -0.151325
1551.73, -0.167447
1551.72, -0.183495
1551.71, -0.199463
1551.7, -0.215343
1551.7, -0.231128
1551.69, -0.246812
1551.68, -0.262388
1551.67, -0.277848
1551.66, -0.293187
1551.66, -0.308396
1551.65, -0.32347
1551.64, -0.338402
1551.63, -0.353185
1551.62, -0.367814
1551.62, -0.38228
1551.61, -0.396579
1551.6, -0.410704
1551.59, -0.424648
1551.58, -0.438405
1551.58, -0.45197
1551.57, -0.465337
1551.56, -0.478499
1551.55, -0.491451
1551.54, -0.504187
1551.54, -0.516702
1551.53, -0.52899
1551.52, -0.541045
1551.51, -0.552863
1551.5, -0.564437
1551.5, -0.575764
1551.49, -0.586838
1551.48, -0.597655
1551.47, -0.608208
1551.46, -0.618495
1551.46, -0.62851
1551.45, -0.638249
1551.44, -0.647707
1551.43, -0.656881
1551.42, -0.665767
1551.42, -0.67436
1551.41, -0.682657
1551.4, -0.690654
1551.39, -0.698347
1551.38, -0.705734
1551.38, -0.712811
1551.37, -0.719575
1551.36, -0.726023
1551.35, -0.732151
1551.34, -0.737959
1551.34, -0.743442
1551.33, -0.748598
1551.32, -0.753426
1551.31, -0.757923
1551.3, -0.762087
1551.3, -0.765916
1551.29, -0.769409
1551.28, -0.772564
1551.27, -0.775379
1551.26, -0.777854
1551.26, -0.779987
1551.25, -0.781778
1551.24, -0.783225
1551.23, -0.784328
1551.22, -0.785087
1551.21, -0.785501
1551.21, -0.785569
1551.2, -0.785293
1551.19, -0.784672
1551.18, -0.783706
1551.17, -0.782396
1551.17, -0.780742
1551.16, -0.778746
1551.15, -0.776407
1551.14, -0.773727
1551.13, -0.770708
1551.13, -0.767349
1551.12, -0.763654
1551.11, -0.759624
1551.1, -0.755259
1551.09, -0.750563
1551.09, -0.745538
1551.08, -0.740185
1551.07, -0.734506
1551.06, -0.728505
1551.05, -0.722185
1551.05, -0.715546
1551.04, -0.708594
1551.03, -0.70133
1551.02, -0.693759
1551.01, -0.685882
1551.01, -0.677705
1551, -0.669229
1550.99, -0.66046
1550.98, -0.651401
1550.97, -0.642055
1550.97, -0.632427
1550.96, -0.622522
1550.95, -0.612343
1550.94, -0.601896
1550.93, -0.591183
1550.93, -0.580212
1550.92, -0.568985
1550.91, -0.557508
1550.9, -0.545787
1550.89, -0.533826
1550.89, -0.52163
1550.88, -0.509205
1550.87, -0.496557
1550.86, -0.48369
1550.85, -0.470611
1550.85, -0.457326
1550.84, -0.443839
1550.83, -0.430158
1550.82, -0.416287
1550.81, -0.402234
1550.81, -0.388004
1550.8, -0.373603
1550.79, -0.359039
1550.78, -0.344316
1550.77, -0.329443
1550.77, -0.314425
1550.76, -0.299269
1550.75, -0.283981
1550.74, -0.268568
1550.73, -0.253038
1550.73, -0.237396
1550.72, -0.22165
1550.71, -0.205807
1550.7, -0.189874
1550.69, -0.173856
1550.69, -0.157763
1550.68, -0.1416
1550.67, -0.125376
1550.66, -0.109096
1550.65, -0.0927677
1550.65, -0.0763991
1550.64, -0.0599969
1550.63, -0.0435684
1550.62, -0.0271207
1550.61, -0.0106611
1550.61, 0.00580315
1550.6, 0.0222649
1550.59, 0.0387168
1550.58, 0.0551517
1550.57, 0.0715624
1550.57, 0.0879417
1550.56, 0.104282
1550.55, 0.120577
1550.54, 0.136819
1550.53, 0.153001
1550.52, 0.169115
1550.52, 0.185156
1550.51, 0.201115
1550.5, 0.216985
1550.49, 0.232761
1550.48, 0.248434
1550.48, 0.263998
1550.47, 0.279446
1550.46, 0.294771
1550.45, 0.309967
1550.44, 0.325026
1550.44, 0.339943
1550.43, 0.354711
1550.42, 0.369322
1550.41, 0.383772
1550.4, 0.398053
1550.4, 0.412159
1550.39, 0.426084
1550.38, 0.439822
1550.37, 0.453367
1550.36, 0.466712
1550.36, 0.479853
1550.35, 0.492783
1550.34, 0.505496
1550.33, 0.517988
1550.32, 0.530251
1550.32, 0.542282
1550.31, 0.554075
1550.3, 0.565624
1550.29, 0.576925
1550.28, 0.587973
1550.28, 0.598762
1550.27, 0.609288
1550.26, 0.619547
1550.25, 0.629533
1550.24, 0.639243
1550.24, 0.648673
1550.23, 0.657817
1550.22, 0.666672
1550.21, 0.675235
1550.2, 0.6835
1550.2, 0.691466
1550.19, 0.699128
1550.18, 0.706483
1550.17, 0.713528
1550.16, 0.720259
1550.16, 0.726673
1550.15, 0.732769
1550.14, 0.738543
1550.13, 0.743992
1550.12, 0.749115
1550.12, 0.753908
1550.11, 0.758371
1550.1, 0.7625
1550.09, 0.766294
1550.08, 0.769752
1550.08, 0.772871
1550.07, 0.775652
1550.06, 0.778091
1550.05, 0.780189
1550.04, 0.781944
1550.04, 0.783355
1550.03, 0.784423
1550.02, 0.785146
1550.01, 0.785524
1550, 0.785557
1550, 0.785245
1549.99, 0.784588
1549.98, 0.783586
1549.97, 0.78224
1549.96, 0.780551
1549.96, 0.778519
1549.95, 0.776145
1549.94, 0.77343
1549.93, 0.770375
1549.92, 0.766982
1549.92, 0.763252
1549.91, 0.759186
1549.9, 0.754788
1549.89, 0.750057
1549.88, 0.744997
1549.88, 0.73961
1549.87, 0.733899
1549.86, 0.727864
1549.85, 0.72151
1549.84, 0.71484
1549.84, 0.707855
1549.83, 0.700559
1549.82, 0.692955
1549.81, 0.685048
1549.8, 0.676839
1549.8, 0.668333
1549.79, 0.659533
1549.78, 0.650444
1549.77, 0.641069
1549.76, 0.631412
1549.76, 0.621478
1549.75, 0.611272
1549.74, 0.600796
1549.73, 0.590057
1549.72, 0.579058
1549.72, 0.567806
1549.71, 0.556303
1549.7, 0.544557
1549.69, 0.532571
1549.68, 0.520351
1549.68, 0.507903
1549.67, 0.495232
1549.66, 0.482343
1549.65, 0.469242
1549.64, 0.455935
1549.64, 0.442428
1549.63, 0.428727
1549.62, 0.414837
1549.61, 0.400765
1549.6, 0.386517
1549.6, 0.372099
1549.59, 0.357518
1549.58, 0.34278
1549.57, 0.327891
1549.56, 0.312858
1549.56, 0.297688
1549.55, 0.282387
1549.54, 0.266962
1549.53, 0.25142
1549.52, 0.235767
1549.52, 0.220011
1549.51, 0.204158
1549.5, 0.188215
1549.49, 0.17219
1549.48, 0.156089
1549.48, 0.139919
1549.47, 0.123689
1549.46, 0.107403
1549.45, 0.0910709
1549.44, 0.0746984
1549.44, 0.0582932
1549.43, 0.0418623
1549.42, 0.0254131
1549.41, 0.00895269
1549.4, -0.00751164
1549.4, -0.0239727
1549.39, -0.0404232
1549.38, -0.0568559
1549.37, -0.0732637
1549.36, -0.0896393
1549.36, -0.105976
1549.35, -0.122265
1549.34, -0.138501
1549.33, -0.154676
1549.32, -0.170784


