

wavelength(nm), Y
1553.73, 0.225745
1553.72, 0.209926
1553.72, 0.194015
1553.71, 0.178019
1553.7, 0.161945
1553.69, 0.1458
1553.68, 0.12959
1553.67, 0.113324
1553.67, 0.0970078
1553.66, 0.0806491
1553.65, 0.0642549
1553.64, 0.0478325
1553.63, 0.0313891
1553.63, 0.0149319
1553.62, -0.00153182
1553.61, -0.0179949
1553.6, -0.0344501
1553.59, -0.0508901
1553.59, -0.0673078
1553.58, -0.0836959
1553.57, -0.100047
1553.56, -0.116355
1553.55, -0.132611
1553.55, -0.148809
1553.54, -0.164942
1553.53, -0.181002
1553.52, -0.196983
1553.51, -0.212877
1553.51, -0.228678
1553.5, -0.244378
1553.49, -0.259971
1553.48, -0.27545
1553.47, -0.290807
1553.47, -0.306037
1553.46, -0.321133
1553.45, -0.336087
1553.44, -0.350894
1553.43, -0.365547
1553.43, -0.380039
1553.42, -0.394365
1553.41, -0.408517
1553.4, -0.422489
1553.39, -0.436276
1553.39, -0.449872
1553.38, -0.46327
1553.37, -0.476464
1553.36, -0.489449
1553.35, -0.502219
1553.34, -0.514769
1553.34, -0.527092
1553.33, -0.539184
1553.32, -0.551039
1553.31, -0.562652
1553.3, -0.574018
1553.3, -0.585131
1553.29, -0.595988
1553.28, -0.606583
1553.27, -0.616911
1553.26, -0.626969
1553.26, -0.636751
1553.25, -0.646254
1553.24, -0.655472
1553.23, -0.664403
1553.22, -0.673042
1553.22, -0.681385
1553.21, -0.689429
1553.2, -0.69717
1553.19, -0.704605
1553.18, -0.71173
1553.18, -0.718543
1553.17, -0.72504
1553.16, -0.731219
1553.15, -0.737076
1553.14, -0.74261
1553.14, -0.747817
1553.13, -0.752696
1553.12, -0.757245
1553.11, -0.761461
1553.1, -0.765342
1553.1, -0.768887
1553.09, -0.772095
1553.08, -0.774963
1553.07, -0.777491
1553.06, -0.779677
1553.06, -0.781521
1553.05, -0.783022
1553.04, -0.784179
1553.03, -0.784991
1553.02, -0.785459
1553.01, -0.785581
1553.01, -0.785359
1553, -0.784791
1552.99, -0.783879
1552.98, -0.782623
1552.97, -0.781022
1552.97, -0.779079
1552.96, -0.776793
1552.95, -0.774167
1552.94, -0.7712
1552.93, -0.767894
1552.93, -0.764252
1552.92, -0.760273
1552.91, -0.755961
1552.9, -0.751316
1552.89, -0.746342
1552.89, -0.741039
1552.88, -0.735411
1552.87, -0.729461
1552.86, -0.723189
1552.85, -0.7166
1552.85, -0.709697
1552.84, -0.702481
1552.83, -0.694957
1552.82, -0.687128
1552.81, -0.678997
1552.81, -0.670568
1552.8, -0.661844
1552.79, -0.65283
1552.78, -0.643528
1552.77, -0.633944
1552.77, -0.624082
1552.76, -0.613946
1552.75, -0.603539
1552.74, -0.592868
1552.73, -0.581936
1552.73, -0.570749
1552.72, -0.559311
1552.71, -0.547627
1552.7, -0.535703
1552.69, -0.523544
1552.69, -0.511154
1552.68, -0.49854
1552.67, -0.485707
1552.66, -0.472661
1552.65, -0.459407
1552.64, -0.445951
1552.64, -0.4323
1552.63, -0.418458
1552.62, -0.404433
1552.61, -0.39023
1552.6, -0.375856
1552.6, -0.361316
1552.59, -0.346618
1552.58, -0.331768
1552.57, -0.316772
1552.56, -0.301636
1552.56, -0.286369
1552.55, -0.270975
1552.54, -0.255463
1552.53, -0.239838
1552.52, -0.224108
1552.52, -0.208279
1552.51, -0.192359
1552.5, -0.176355
1552.49, -0.160273
1552.48, -0.14412
1552.48, -0.127905
1552.47, -0.111633
1552.46, -0.0953121
1552.45, -0.0789493
1552.44, -0.0625519
1552.44, -0.046127
1552.43, -0.0296818
1552.42, -0.0132236
1552.41, 0.00324037
1552.4, 0.019703
1552.4, 0.0361569
1552.39, 0.0525949
1552.38, 0.0690099
1552.37, 0.0853945
1552.36, 0.101742
1552.36, 0.118044
1552.35, 0.134295
1552.34, 0.150486
1552.33, 0.166612
1552.32, 0.182664
1552.32, 0.198636
1552.31, 0.214521
1552.3, 0.230312
1552.29, 0.246001
1552.28, 0.261582
1552.28, 0.277049
1552.27, 0.292394
1552.26, 0.30761
1552.25, 0.322691
1552.24, 0.337631
1552.23, 0.352422
1552.23, 0.367059
1552.22, 0.381534
1552.21, 0.395841
1552.2, 0.409975
1552.19, 0.423929
1552.19, 0.437696
